sample-id	treatment	plant
DNA_192	H5Dr(U3)	bean
DNA_193	H5Dr(U4)	bean
DNA_194	H5Dr(U5)	bean
DNA_195-neg	Control25	bean
DNA_196-neg	Control26	bean
DNA_197	H1WW(P1)	bean
DNA_198	H1WW(P2)	bean
DNA_199	H1WW(P3)	bean
DNA_200	H1WW(P4)	bean
DNA_201	H1WW(P5)	bean
DNA_202	H1WW(U1)	bean
DNA_203	H1WW(U2)	bean
DNA_204	H1WW(U3)	bean
DNA_205	H1WW(U4)	bean
DNA_206	H1WW(U5)	bean
DNA_207-neg	Control27	bean
DNA_208-neg	Control28	bean
DNA_209	H2WW(P1)	bean
DNA_210	H2WW(P2)	bean
DNA_211	H2WW(P3)	bean
DNA_212	H2WW(P4)	bean
DNA_213	H2WW(P5)	bean
DNA_214	H2WW(U1)	bean
DNA_215	H2WW(U2)	bean
DNA_216	H2WW(U3)	bean
DNA_217	H2WW(U4)	bean
DNA_218	H2WW(U5)	bean
DNA_219	H3WW(P1)	bean
DNA_220	H3WW(P2)	bean
DNA_221	H3WW(P3)	bean
DNA_222	H3WW(P4)	bean
DNA_223	H3WW(P5)	bean
DNA_224-neg	Control29	bean
DNA_225-neg	Control30	bean
DNA_226	H3WW(U1)	bean
DNA_227	H3WW(U2)	bean
DNA_228	H3WW(U3)	bean
DNA_229	H3WW(U4)	bean
DNA_230	H3WW(U5)	bean
DNA_231	H4WW(P1)	bean
DNA_232	H4WW(P2)	bean
DNA_233	H4WW(P3)	bean
DNA_234	H4WW(P4)	bean
DNA_235	H4WW(P5)	bean
DNA_236	H4WW(U1)	bean
DNA_237	H4WW(U2)	bean
DNA_238	H4WW(U3)	bean
DNA_239	H4WW(U4)	bean
DNA_240	H4WW(U5)	bean
DNA_241-neg	Control31	bean
DNA_242-neg	Control32	bean
DNA_243	H5WW(P1)	bean
DNA_244	H5WW(P2)	bean
DNA_245	H5WW(P3)	bean
DNA_246	H5WW(P4)	bean
DNA_247	H5WW(P5)	bean
DNA_248	H5WW(U1)	bean
DNA_249	H5WW(U2)	bean
DNA_250	H5WW(U3)	bean
DNA_251	H5WW(U4)	bean
DNA_252	H5WW(U5)	bean
positivecontrol3-Shade	Shadeposcontrol3	bean
RTSF_NTC_753	RTSF_negcontrol	bean
RTSF_NTC_763	RTSF_negcontrol	bean
ZymoMockDNA_754	RTSF_poscontrol	bean
DNA_253-neg	Control33	bean
DNA_254-neg	Control34	bean
redoDNAbox398-neg1	Control35	bean
redoDNAbox398-neg2	Control36	bean
redoDNAbox401-neg1	Control37	bean
redoDNAbox401-neg2	Control38	bean
redoDNAbox409-neg1	Control39	bean
redoDNAbox414-neg1	Control40	bean
redoDNAbox414-neg2	Control41	bean
positivecontrol4-Shade	Shadeposcontrol4	bean
RTSF_NTC_755	RTSF_negcontrol	bean
ZymoMockDNA_756	RTSF_poscontrol	bean
